NEVO-code,productnaam,energie_kcal,koolhydraten_g,eiwitten_g,vetten_g
1651,Stroop gerstemout-,283,66.4,4.4,0.0
1652,Stroop maismout-,287,69.4,2.3,0.0
1653,Stroop rijstmout-,292,72.6,0.3,0.0
1655,Diksap geconcentreerd,242,60.0,0.2,0.0
1656,Sap wortel-,29,6.4,0.4,0.2
1657,Sap zuurkool-,7,1.1,0.7,0.0
1663,Rundvlees <5 g vet rauw gem,108,0.0,22.6,2.0
1664,Rundvlees >5 g vet rauw gem,218,1.5,18.4,15.3
1665,Rundvlees <10 g vet bereid gem,163,0.0,30.2,4.7
1666,Rundvlees >10 g vet bereid gem,290,1.2,26.9,19.7
1667,Varkensvlees <5 g vet rauw gem,126,2.8,21.8,3.0
1668,Varkensvlees 5-14 g vet rauw gem,165,0.5,20.0,9.1
1669,Varkensvlees >15 g vet rauw gem,283,0.5,16.1,24.0
1670,Varkensvlees <10 g vet bereid gem,158,0.0,28.8,4.7
1671,Varkensvlees 10-19 g vet bereid gem,260,0.3,28.4,16.1
1672,Varkensvlees >19 g vet bereid gem,365,1.1,21.2,30.5
1673,Kalfsvlees <5 g vet gem rauw,105,0.0,22.0,1.8
1674,Kalfsvlees >5 g vet gem rauw,159,0.0,20.4,8.6
1675,Lamsvlees >10 g vet rauw gem,221,0.0,19.3,16.0
1676,Vlees <5 g vet excl lever rauw gem,113,0.7,22.8,2.1
1677,Vlees >5 g vet excl lever rauw gem,211,1.1,18.6,14.7
1678,Aardappelschijfjes diepvries gefrituurd in plantaardige olie,229,28.0,3.1,10.9
1679,Frites oven- diepvries bereid in oven,213,32.6,3.8,6.6
1680,Aardappelkroketten diepvries bereid,239,28.2,3.4,12.0
1687,Opvolgmelk Nutrilon 2 p 100 ml,68,8.6,1.4,3.0
1699,Koekje kaas-,495,41.9,13.3,30.1
1719,Melk halfvolle verrijkt m calcium,46,4.9,3.4,1.5
1720,Vla volle overige smaken,87,13.6,2.1,2.6
1721,Yoghurt vanille- halfvolle,72,11.4,2.9,1.3
1722,Pap griesmeel-,93,14.0,3.0,2.9
1723,Kaas 20+,246,0.0,34.5,12.0
1724,Kaas 50+,380,0.0,22.9,32.1
1725,Kaas gaten- Hollandse 45+,370,0.0,27.6,28.5
1726,Kaas 40+ Leidse/Friese nagel-,341,0.0,27.3,25.7
1764,Babyvoeding fruit 12 mnd,64,14.4,0.6,0.1
1770,Kindervoeding maaltijd 18 mnd,82,10.5,3.3,2.6
1771,Leverkaas/Berliner leverworst,319,4.5,12.3,27.6
1772,Varkensfricandeau gebraden (vleeswaar),117,1.3,21.6,2.8
1773,Zult zure,264,1.7,12.5,23.0
1774,Worst tongen-,247,2.0,17.2,18.8
1775,Spek ontbijt- gegrild,261,0.5,15.2,22.1
1776,Ham achter- gegrild,119,1.8,18.9,3.9
1777,Ham been-,127,2.2,18.3,5.0
1779,Knackebrod volkoren,363,64.0,10.9,4.0
1788,Varkensribkarbonade rauw,150,0.0,22.6,6.6
1789,Varkensschnitzel ongepaneerd bereid,142,0.0,28.3,3.2
1790,Varkensschnitzel ongepaneerd rauw,109,0.0,22.6,2.0
1791,Room spuitbus m suiker,305,11.0,2.3,28.0
1792,Maaltijdvervanger Modifast Intensive Muesli,358,38.0,35.0,5.8
1802,Knackebrod Sandwich Wasa,476,46.8,10.7,25.0
1803,Saus oosterse kant-en-klaar glas/zak,64,13.3,1.5,0.4
1808,Creme fraiche,293,2.8,2.6,30.0
1809,Kaas 45+,357,0.0,25.4,27.3
1810,Siroop vruchtenlimonade- Karvan Cevitam,177,44.0,0.1,0.0
1811,Kousenband gekookt,29,2.5,2.7,0.2
1812,Nectarine,36,6.5,1.0,0.1
1813,Melkdrank Yakult original,66,15.0,1.3,0.0
1832,Yoghurtdrank Vifit vruchten,55,8.3,3.1,0.8
1876,Salade komkommer- lunch/borrel,238,6.5,0.8,23.0
1877,Salade vlees- lunch/borrel,286,8.2,5.0,25.7
1878,Vruchtendrank Roosvicee Multivit,36,8.6,0.1,0.1
1879,Aroma strooi- natriumarm,235,27.9,22.1,3.6
1883,Bouillonpoeder natriumarm,348,67.4,5.3,6.3
1885,Water gem,0,0.0,0.0,0.0
1886,Chutney mango-,215,52.0,0.7,0.1
1887,Dadels vers,139,31.3,1.5,0.1
1888,Carambola,37,7.2,0.5,0.3
1889,Couscous rauw,363,72.1,12.0,2.1
1890,Gerst hele korrel rauw,330,59.7,10.6,2.1
1891,Mierikswortel rauw,80,11.0,4.5,0.3
1892,Paksoi rauw,14,1.4,1.0,0.2
1893,Kaas Bel Paese,374,0.1,25.4,30.2
1894,Bonen kidney- rode gedroogd,295,36.9,22.1,1.4
1895,Noten pecan- ongebrand ongezouten,721,4.4,9.2,72.0
1896,Noten pistache- gezouten,592,10.8,23.8,48.3
1897,Zeewier kelp rauw,47,8.3,1.7,0.6
1898,Zeewier agar agar gedroogd,336,73.2,6.2,0.3
1899,Jacobsschelpen rauw,83,2.4,16.8,0.8
1900,Geitenvlees rauw gem,103,0.0,20.6,2.3
1901,Nier varkens- rauw,86,0.0,15.5,2.7
1902,Nier runder- rauw,88,0.0,17.2,2.1
1903,Nier lams- rauw,91,0.0,17.0,2.6
1904,Groenten gekookt gem,30,3.6,1.7,0.4
1905,Groenten rauw gem,20,2.6,1.0,0.4
1906,Fruit vers incl citrus- gem,61,12.8,0.7,0.2
1907,Vleeswaren excl leverproducten gem,230,2.6,16.9,16.7
1908,Vleeswaren <10 g vet excl leverprod gem,133,2.5,18.4,5.3
1909,Worst excl leverproducten gem,352,2.5,16.3,30.7
1910,Vleeswaren 20-30 g vet excl leverprod gem,311,3.2,13.8,26.9
1911,Vleeswaren >30 g vet excl leverprod gem,395,2.0,17.6,35.1
1912,Saus Chinese zoetzure huishoudelijk bereid,32,6.9,0.4,0.3
1913,Saus sate- huishoudelijk bereid m water m vet,295,10.8,8.7,23.3
1914,Brooddeeg (bodem voor pizza/hartige taart) onbereid,231,37.6,5.6,5.9
1915,Soes ongevuld,223,13.8,6.0,15.9
1916,Room slag- geklopt m suiker,348,16.5,2.0,30.4
1917,Vlaaibodem Limburgse,297,41.3,7.3,10.9
1932,Sap sinaasappel- m vruchtvlees,42,8.7,0.7,0.0
1933,Sap tomatengroenten- Appelsientje Tomatientje,14,2.5,0.7,0.0
1934,Sap tomaten- Appelsientje Zontomaat,17,2.8,0.9,0.0
1935,Noten gemengd gezouten,656,11.0,18.3,58.3
1936,Kalkoenfilet rauw,110,0.0,24.8,1.2
1937,Chips tortilla naturel,480,61.8,6.8,22.0
1938,Saus sate- op basis pakje bereid,148,19.8,4.2,5.6
1939,Kaas blauwschimmel Gorgonzola,359,0.1,19.4,31.2
1943,Zoutjes Japanse mix m pinda's,421,75.6,10.9,8.0
1945,Broodje pudding-,214,38.0,5.2,4.3
1953,Plantaardig alternatief voor vruchten-/vanilleyoghurt obv soja m suiker verrijkt m calcium en vitamines,66,8.7,3.4,1.7
1955,Kaas Mozzarella gemaakt v koemelk,253,0.7,18.7,19.5
1956,Halvarineproduct Becel pro-activ,362,0.3,0.3,40.0
1957,Vla slagroom-,120,15.1,2.7,5.4
1958,Pap karnemelkse gorte-,53,8.1,3.6,0.5
1961,Halvarineproduct Blue Band Goede Start,347,1.1,0.3,38.0
1962,Hagelslag chocolade- melk,455,70.3,6.3,15.6
1963,Hagelslag chocolade- puur,446,67.4,5.8,15.3
1964,Pasta chocolade- melk,570,61.0,2.4,35.0
1965,Biscuit melk- Liga Milkbreak,444,62.0,9.2,17.0
1969,Cake m roomboter,401,42.9,5.8,22.7
1972,Koekje roomboter- gem,448,60.7,5.3,20.1
1973,Opvolgmelk Nutrilon 3 p 100 ml,66,8.4,1.3,2.9
1991,Ontbijtproduct Olvarit pap 8 granen 12+ mnd,378,72.6,11.5,2.2
1999,Ontbijtproduct Frosties Kellogg's,375,87.0,4.5,0.6
2002,Ontbijtproduct Coco pops Kellogg's,386,84.0,6.3,1.9
2004,Ontbijtproduct All-Bran Fruit 'n Fibre Kellogg's,380,69.0,8.0,6.0
2005,Ontbijtproduct Special K Original Kellogg's,392,84.0,8.0,1.3
2006,Ontbijtproduct Smacks Kellogg's,377,81.0,7.1,1.6
2007,Ontbijtproduct Honey pops Loops Kellogg's,396,76.0,9.3,4.4
2009,Taart vruchten- v zandgebak,248,31.3,3.1,11.8
2010,Taart vruchten- v cakedeeg,197,25.1,2.6,9.2
2012,Maaltijdvervanger Modifast Intensive Pudding,355,35.6,36.8,4.9
2013,Maaltijdvervanger milkshake Modifast Intensive,355,35.7,36.8,4.9
2024,Sportvoeding Isostar Actifood,204,49.8,0.6,0.0
2027,Sportvoeding Isostar Powertabs,320,79.9,0.0,0.0
2030,Gehakt fijn- vegetarisch obv mycoproteine onbereid,95,0.7,14.1,2.5
2031,Stukjes vegetarisch obv mycoproteine onbereid,86,1.5,12.6,2.1
2041,Sportdrank AA-Drink Isotone,23,5.7,0.0,0.0
2042,Sportdrank hypertone m koolhydraten,59,14.8,0.0,0.0
2047,Gehakt fijn- vegetarisch obv soja onbereid,148,5.8,20.0,3.0
2048,Pinda's dry roasted,577,11.0,24.0,47.0
2049,Rijst meergranen- rauw,351,74.0,9.0,1.5
2051,Ontbijtproduct Brinta Wake Up drinkontbijt,350,72.5,5.7,1.2
2054,Babyvoeding maaltijd 12 mnd,72,9.6,3.6,1.7
2056,Babyvoeding fruit 6 mnd,65,14.5,0.6,0.2
2057,Lamsvlees <10 g vet rauw gem,158,0.0,20.7,8.3
2058,Schapenvlees <10 g vet gem rauw,160,0.0,20.5,8.7
2059,Halvarine 40% vet <17 g verz vetz gezouten,356,0.5,0.1,39.2
2060,Halvarineproduct 35% vet <10g verz vetz ongezouten,320,1.2,0.0,35.0
2063,Margarine 80% vet >24 g verz vetz gezouten,719,0.3,0.1,79.7
2066,Bak- en braadvet vloeib 97% vet <17g verz vetz gezouten,878,0.9,0.5,96.9
2067,Bak- en braadvet vast 97% vet >17 g verz vetz gezouten,873,0.5,0.3,96.7
2068,Vet frituur- vloeibaar,900,0.0,0.0,100.0
2069,Vet frituur- vast,900,0.0,0.0,100.0
2072,Margarineproduct 60% vet <17 g verz vetz ongez,541,0.1,0.1,60.0
2077,Margarine vloeibaar 80% vet <17 g verz vetz gezouten,735,0.0,0.0,81.6
2079,Drinkontbijt Coolbest FruitOntbijt,53,11.6,0.8,0.2
2081,Ontbijtproduct Cornflakes,373,82.7,7.1,0.6
2083,Mayonaiseproduct m olijfolie,642,1.9,1.1,70.0
2086,IJsthee m suiker 5-<7 g KH,25,6.2,0.0,0.0
2087,IJsthee light,2,0.2,0.1,0.1
2088,IJsthee m suiker en zoetstof,18,4.1,0.1,0.1
2089,Struisvogelvlees rauw,121,0.4,22.9,3.1
2090,Kip drumstick m vel rauw,147,0.0,19.1,7.9
2106,Frites bereid m hard vet,256,28.0,3.1,13.9
2107,Frites bereid m vloeibaar vet,264,28.0,3.1,14.8
2108,Frites bereid gem,263,28.0,3.1,14.7
2109,Cassave gekookt,128,30.4,0.5,0.2
2110,Taro gekookt,102,22.4,1.2,0.2
2111,Yam gekookt,144,33.0,1.7,0.3
2112,Aardappel zoete gekookt,63,12.3,1.7,0.2
2113,Pompoen gekookt,14,1.8,0.6,0.3
2134,Limonade vruchten- Dubbelfrisss,22,5.5,0.0,0.0
2135,Limonade vruchten- Tintelfruit m suiker,22,5.4,0.0,0.0
2137,Limonade vruchten- Tintelfruit light,12,2.9,0.0,0.0
2141,Mineraalwater m zoetstof,0,0.0,0.0,0.0
2142,Wijn witte zoete,96,5.9,0.2,0.0
2144,Sap appel- verrijkt m vit C,45,11.1,0.2,0.0
2147,Zoutjes Japanse mix z pinda's,387,86.0,8.5,0.9
2157,Pasta volkoren gekookt,134,23.7,5.6,0.9
2158,Couscous gekookt,121,24.0,4.0,0.7
2159,Gierst gekookt,123,23.1,3.9,1.4
2162,Cafe noir,420,89.0,3.4,5.4
2163,Zoutje mais- Bugles,537,55.0,6.3,32.0
2173,Chips op basis v aardappelvlokken,522,51.8,4.2,32.5
2176,Pijnboompitten,675,9.8,16.5,61.9
2177,Basilicum vers,48,5.1,3.1,0.8
2178,Pesto groene,444,4.4,9.0,42.8
2190,Brownie m noten,447,50.9,5.1,24.3
2208,Zuigelingenvoeding Hero Baby Standaard 1 p 100 ml,67,7.2,1.4,3.5
2209,Opvolgmelk Hero Baby Standaard 2 p 100 ml,69,9.2,1.6,2.8
2210,Opvolgmelk Hero Baby Standaard 3 p 100 ml,70,8.8,1.8,3.0
2218,Sportdrank Extran Energy,43,10.8,0.0,0.0
2219,Sportdrank Extran Hydro,22,5.5,0.0,0.0
2221,Biscuit baby- en dreumes- Bolletje,428,70.5,8.5,12.0
2227,Biscuit fourre,473,73.2,5.5,17.1
2228,Koekje Scholiertje,493,62.5,6.3,23.5
2229,Cracker VitaLU,445,67.0,12.3,12.3
2231,Wafel rijst- m chocolade,502,60.3,6.8,24.9
2232,Biscuit fruit-,396,76.3,5.5,7.1
2233,Koek ontbijt- m rozijnen,315,71.5,2.7,1.2
2234,Graanreep Hero B'tween,444,62.0,6.9,17.7
2235,Graanreep z suiker,339,67.3,7.3,10.3
2237,Graanreep Special K Kellogg's,400,79.5,4.6,6.5
2238,Graanreep m melk Kellogg's,417,72.3,6.0,11.3
2239,Mueslireep,455,64.8,8.2,16.8
2240,Melk geiten- volle,64,4.3,3.3,3.7
2241,Yoghurtsnack Breaker,102,13.3,3.4,3.5
2244,Yoghurt room- m vruchten,141,13.7,2.9,7.8
2246,Kwark vruchten-/vanille- magere m zoetstof,47,4.1,7.2,0.1
2248,Kwark vruchten- Danoontje,96,9.9,6.4,3.0
2250,IJs Festini,100,24.0,0.2,0.2
2251,IJs room/vanille- m chocoladecoating,324,34.0,4.3,18.7
2252,IJs room/vanille- m fruitcoating,134,24.0,1.5,3.5
2254,Yoghurtdrank m zoetstof,24,3.4,2.7,0.0
2255,Yoghurtdrank m zoetstof Fristi,24,3.2,1.8,0.0
2257,Drinkontbijt Goede Morgen Vifit,55,7.9,3.4,0.8
2258,Yoghurtdrank Actimel naturel,70,10.8,3.0,1.6
2261,Drink soja- Groeidrink 1-3+ Alpro,60,8.0,2.4,2.0
2262,Plantaardig alternatief voor room obv soja,161,2.6,2.2,15.7
2264,Kaas 10+,187,0.2,32.2,6.4
2265,Melkdrank Yakult Balance,58,14.0,1.2,0.0
2266,Chocolade witte,552,58.1,6.4,32.6
2267,Vla magere m zoetstof,47,8.2,3.4,0.0
2268,Creme fraiche halfvolle,165,4.0,3.1,15.0
2271,Pasta glutenvrij rauw,358,73.7,9.0,2.5
2272,Taartbodem v biscuitdeeg,263,48.4,7.5,4.2
2275,Room kook-,212,5.0,2.4,20.2
2276,Room kook- light,101,5.8,3.2,7.2
2278,Yoghurt volle Activia m granen/muesli,104,12.6,3.6,3.6
2279,Room kook- Blue Band Finesse voor koken,160,4.0,2.0,15.0
2287,Siroop vruchtenlimonade- m suiker en zoetstof 40-45 g KH,170,42.5,0.0,0.0
2289,Siroop vruchtenlimonade- light,8,1.8,0.0,0.0
2290,Kokosmelk,173,2.5,1.4,17.4
2292,Snoepje suikervrij,240,89.3,1.1,2.1
2293,Tomaat in blik,24,3.7,1.1,0.4
2296,Koolvis (Atlantisch) rauw,82,0.0,18.0,1.1
2297,Tonijn rauw,101,0.0,23.7,0.7
2298,Tong rauw (vis),76,0.0,14.7,1.9
2299,Tilapia rauw,86,0.0,17.9,1.6
2300,Worst rook- magere gekookt,254,3.3,14.0,20.5
2301,Worst rook- runder gekookt,240,2.0,13.0,20.0
2302,Worst knak- magere blik/glas,136,6.0,12.0,7.0
2303,Worst gekookte magere,221,3.0,14.0,17.0
2304,Worst cervelaat- magere,241,0.1,23.0,16.5
2306,Worst boterham- magere,163,6.4,11.6,10.1
2308,Yoghurtdrank Becel pro-activ,45,4.5,3.0,1.5
2311,Breezer,74,9.9,0.0,0.0
2312,Roti v bloem (sada roti),307,48.8,6.9,8.6
2313,Rundvlees gezouten gekookt Surinaams,271,0.0,27.4,17.9
2314,Erwten split- gele gekookt,126,18.6,8.4,0.6
2315,Pomtajer bereid z vet,99,17.2,3.4,0.3
2316,Tajerblad bereid z vet,38,0.9,4.6,1.1
2317,Bruine bonen m rijst Surinaams,147,16.6,7.7,4.8
2318,Roti v bloem en aardappel,218,35.9,4.9,5.6
2319,Saus m gele spilterwten Dahl Surinaams,151,17.5,7.7,4.2
2320,Ovenschotel m pomtajer Pom Surinaams,119,6.8,8.4,5.9
2321,Groente-vlees schotel Moksi-alesi Surinaams,123,14.2,7.8,3.4
2322,Aardappelpuree instant- bereid m halfvolle melk,96,16.5,4.1,1.3
2323,Aardappelpuree instant- bereid m water,71,11.8,1.7,1.6
2324,Aardappelpuree vers bereid m halfvolle melk z vet,74,14.1,2.3,0.6
2325,Aardappelen m schil gekookt gem,74,15.4,1.4,0.3
2326,Aardappelkroketten diepvries onbereid,169,24.8,2.7,6.0
2329,Koek ontbijt- minder suiker,287,59.2,3.2,1.5
2331,Bamigroenten gekookt,19,2.0,1.2,0.2
2333,Gehakt rauw gem,222,0.2,19.3,15.9
2334,Gehaktbal half-om-half m ei en paneermeel rauw,237,5.2,18.3,15.7
2335,Vlees gem excl lever rauw,181,0.9,19.9,10.8
2336,Rundvlees gem rauw,201,1.3,19.1,13.2
2337,Gehaktbal runder- m ei en paneermeel rauw,230,5.1,18.0,15.0
2339,Vink runder- rauw,209,3.2,16.6,14.2
2340,Varkensschnitzel gepaneerd rauw,142,8.1,20.6,2.8
2341,Kipfilet gepaneerd rauw,131,5.6,21.5,2.3
2342,Kipfilet omhuld m beslag rauw,115,3.2,21.0,2.0
2343,Pudding gelatine-,59,13.0,1.8,0.0
2344,Varkens cordon bleu rauw,153,5.8,20.4,5.2
2345,Pinda's suiker-,536,47.1,15.1,31.0
2346,Sla gem rauw,16,1.0,1.6,0.3
2347,Tortellini gekookt,155,23.3,7.7,3.1
2348,Tarwebrood volkoren gem v fijn en grof m pompoenpitten,275,34.7,13.4,7.6
2349,Meergranenbrood gem v wit en bruin m zaden m extra lijnzaad,287,36.0,13.1,7.9
2350,Meergranenbrood gem v wit en bruin m zaden,261,39.1,12.3,4.8
2351,Tarwebrood wit gem v melk- en waterwit,250,48.1,9.1,1.7
2352,Tarwekrentenbrood wit m spijs ,303,51.7,8.2,6.1
2353,Tarwemueslibrood bruin/volkoren,295,42.5,10.6,7.6
2354,Tarwenotenbrood volkoren ,298,34.5,12.2,10.9
2355,Tarwesuikerbrood wit,306,60.5,7.9,3.0
2356,Tarwestokbrood wit m kaas en uien,243,35.9,10.0,6.0
2357,Tarwebrood volkoren gem v fijn en grof m zonnebloempitten,284,35.9,11.9,8.7
2358,Tarwebrood wit gem v melk- en waterwit m zonnebloempitten,297,43.9,10.2,8.3
2359,Wrap/tortilla obv tarwe naturel,298,50.8,8.5,5.5
2360,Wafel rijst- m karamel,394,87.0,5.5,2.4
2362,Frikandel diepvries onbereid,235,6.1,13.1,17.2
2363,Gehakt cordon bleu rauw,270,10.8,14.8,18.4
2364,Kipschnitzel gepaneerd rauw,156,5.6,19.1,6.1
2365,Kip cordon bleu rauw,150,4.4,22.0,4.8
2367,Pindakaas light,535,13.7,18.0,39.6
2369,Soepstengel,401,71.3,12.5,6.6
2370,Zoutje luchtig maisbasis,518,60.7,7.5,27.0
2371,Tiramisu,248,30.7,4.5,10.6
2372,Rozijnen omhuld m chocolade melk-,429,61.8,5.0,17.3
2373,After eight,419,74.6,2.1,12.2
2374,Chocolade melk- m rozijnen,501,55.9,6.2,27.4
2375,Chocolade puur m hazelnoten,565,36.2,9.0,41.0
2376,Chocolade melk- m gepofte rijst,531,55.2,7.1,30.7
2377,"Tomaat gedroogd in olie blik/glas, uitgelekt",197,9.4,4.4,14.0
2378,Tomaat zongedroogd,331,55.8,14.1,3.0
2379,Rozijnen gedroogd geweekt,258,59.5,2.5,0.4
2380,Toffee m chocolade,427,77.8,1.8,11.7
2381,Pate smeer- magere,187,10.0,9.7,12.0
2382,Tarwebrood bruin m zonnebloempitten,287,39.7,10.9,8.3
2383,Noga m chocolade,489,64.2,7.2,21.8
2384,Drop m pepermunt,375,90.4,2.8,0.1
2385,Salmiakkogel/-lolly,375,92.3,1.2,0.0
2386,Noga,469,72.1,6.5,16.7
2387,Popcorn zoete gepoft z olie,389,78.7,9.9,3.0
2389,Siroop vruchtenlimonade- Albert Heijn,164,41.0,0.1,0.0
2391,Cake marmer-,396,44.9,5.6,21.2
2392,Cake appel- z roomboter,260,30.5,3.5,13.5
2393,Cake rozijnen-,384,47.1,5.3,19.1
2394,Soes bananen-,245,16.1,3.5,18.4
2395,Soes slagroom- m chocolade,303,17.6,4.2,23.8
2396,Taart chocolade- m slagroom,337,32.9,4.8,20.4
2397,Koek ontbijt- m noten,337,66.2,4.0,5.4
2398,Koek ontbijt- m kandij,312,71.5,2.8,1.0
2399,Spekkoek m roomboter,422,25.1,5.3,33.3
2400,Croissant chocolade-,434,44.3,8.9,24.0
2401,Koek m gelei/appelvulling,398,65.5,3.3,13.3
2402,Kappertjes,43,4.9,2.4,0.9
2403,Koek Glace-,427,59.5,3.6,19.2
2405,Koekje chocolate chip cookie,501,60.6,6.3,25.3
2406,Koekje kinder- gem,450,70.6,7.6,14.8
2409,Sprits m chocolade,541,61.5,4.7,30.3
2410,Schuimzoenen,439,71.4,2.2,15.3
2412,Kletskop,492,59.2,5.7,25.4
2413,Mergpijpje gevuld m cake en creme,457,62.7,2.7,21.6
2416,IJs room- stracciatella,248,26.8,3.3,13.9
2417,Koek oranje-,375,66.3,4.7,9.7
2418,Saus warm vloeibaar kant-en-klaar <12% vet,91,6.4,1.3,6.6
2419,Saus kaas- op basis roux bereid,127,5.6,5.5,9.1
2420,Saus warm vloeibaar kant-en-klaar >12% vet,195,5.2,1.2,18.8
2422,Halvarineproduct Becel Omega-3 Plus,353,2.6,0.3,38.0
2424,Hagelslag chocolade- wit,455,78.4,5.5,13.2
2425,Wafel galette-,480,65.2,6.9,20.9
2427,Schuddebuikjes Bolletje,486,70.0,5.0,20.0
2428,Wafel melk-hazelnootchocolade Knoppers,548,52.0,8.8,33.3
2429,Cake m noten,449,36.0,8.1,29.8
2430,Beignet banaan-,282,20.6,2.9,20.5
2431,Taart slagroom- omhuld m marsepein,342,39.6,4.8,18.0
2432,Taart noten-,467,46.7,7.6,27.2
2433,Drink rijst- z suiker verrijkt m calcium en vitamines,53,11.3,0.3,0.7
2435,Frisdrank m suiker en zoetstof 2-<5 g KH z cafeine,12,2.9,0.0,0.0
2436,Limonade vruchten- m suiker en zoetstof 4-6 g KH,18,4.6,0.0,0.0
2437,Limonade vruchten- Capri-Sun Multivitamin,20,4.9,0.0,0.0
2441,Siroop vruchtenlimonade- bereid 1 op 7,28,7.0,0.0,0.0
2444,Thee kruiden- oplos gezoet bereid,19,4.7,0.0,0.0
2445,Saus boter-,180,3.1,0.6,18.3
2447,Saus v halfvolle melk en maizena,57,7.8,3.3,1.4
2449,Jus 25% vet ongebonden bereid m juspoeder,230,4.8,1.0,22.9
2450,Jus 50% vet ongebonden bereid m juspoeder,431,4.9,1.1,45.1
2451,Jus 25% vet gebonden bereid m juspoeder,233,7.0,1.0,22.3
2452,Jus 25% vet gebonden bereid z juspoeder,223,2.7,0.1,23.5
2453,Jus 50% vet gebonden bereid z juspoeder,436,2.9,0.3,47.1
2454,Jus 75% vet gebonden bereid z juspoeder,650,3.2,0.4,70.6
2455,Saus Aardappel Anders gem,171,3.9,1.5,16.6
2456,Jus 5% vet gebonden bereid z juspoeder,53,2.6,0.0,4.7
2457,Saus sate huishoudelijk bereid m hv melk z vet,297,12.8,10.2,22.0
2458,Saus sate huishoudelijk bereid m water z vet,280,11.1,8.9,21.4
2459,Jus 50% vet ongebonden bereid z juspoeder,439,0.4,0.3,48.5
2460,Jus 75% vet ongebonden bereid z juspoeder,658,0.6,0.4,72.7
2461,Jus 50% vet gebonden bereid m juspoeder,429,7.1,1.1,43.9
2462,Jus 5% vet ongebonden bereid z juspoeder,44,0.0,0.0,4.8
2466,Dressing vinaigrette-,596,0.4,0.5,65.1
2467,Saus frites- ca 13% olie,158,9.4,0.3,13.1
2468,Dressing honing/mosterd-,299,15.0,1.2,26.0
2470,Saus frites- 5% olie,100,9.8,0.8,5.3
2471,Mayonaiseproduct ca 35% olie,338,10.5,0.5,32.7
2472,Olie wok-,900,0.0,0.0,100.0
2473,Pasta kruiden-/boemboe,306,25.6,4.0,20.4
2476,Koffie cappuccino vers bereid,31,2.3,1.8,1.7
2477,Koffie cappuccino oplos- bereid,37,4.7,1.2,1.3
2478,Koffie cappuccino oplos- poeder,407,52.4,13.9,14.9
2480,Energydrink Golden Power/Bullit/Freeway,44,10.7,0.2,0.0
2483,Vruchtendrank ACE,44,10.9,0.2,0.0
2487,Soep op groente- en vleesbasis kant-en-klaar blik/zak/pak,41,5.3,2.0,1.2
2488,Soep op groente- en vleesbasis bereid pakje,18,2.7,0.6,0.5
2489,Pasta speculoos-,579,56.6,3.2,37.5
2490,Vruchtendrank multivit 12vr nectar light,23,5.4,0.2,0.0
2491,Vruchtendrank m zoetstof 5-<8 g KH,28,6.9,0.1,0.0
2493,Aardappelpureepoeder z melkpoeder z vet,364,78.4,7.9,0.5
2495,Melk chocolade- m halfvolle melk en gezoete cacaopoeder,78,12.2,3.5,1.6
2496,Zuiveldrank Fruitmelk Campina,54,9.2,3.3,0.5
2498,Tomaat gezeefd pak,39,6.3,1.8,0.3
2499,Aardappelpureepoeder m melkpoeder m vet,373,62.0,9.2,8.6
2501,Yoghurt vruchten- halfvolle ,79,11.6,4.2,1.5
2503,Yoghurt Griekse volle,122,3.8,3.8,10.0
2504,Kwark vruchten- volle,125,13.3,5.7,5.1
2505,Fruit gedroogd op brandewijn,201,27.2,0.6,0.1
2507,Sap multivruchten-,47,10.7,0.4,0.1
2513,Cider,55,6.4,0.1,0.0
2514,Diksap bereid 1 op 13,17,4.2,0.0,0.0
2515,Vruchtendrank multivit nectar light Surango,21,5.0,0.2,0.0
2516,Kaas smeer- 15+ Balans ERU,132,3.3,17.3,5.5
2517,Kaas smeer- Kids ERU,169,2.3,15.0,11.1
2518,Kaas geiten- hard,396,0.1,22.4,32.5
2519,Vla halfvolle alle smaken,85,15.1,2.3,1.7
2520,Pudding luchtige,179,22.0,4.2,8.1
2521,Pap lammetjes- bereid m volle melk,84,9.8,3.9,3.2
2522,Vlaflip dubbel- Campina,96,15.0,2.9,2.6
2524,Peper Spaanse rauw,30,4.2,1.8,0.3
2525,Vet frituur- horeca,900,0.0,0.0,100.0
2527,Biscuit hartig Sultana Crunchers,413,70.5,8.5,10.3
2528,Croutons,491,58.6,11.8,22.3
2529,Chips oven-,411,72.8,6.4,9.3
2530,Maltesers,500,61.5,8.3,24.3
2531,Vlokken chocolade- gem,452,71.6,5.5,14.9
2532,Drop suikervrij,167,61.0,1.0,0.2
2533,Winegum m drop,334,79.6,3.5,0.2
2535,Cacaopoeder gezoet Nesquik,376,79.0,5.0,3.0
2537,Vlaflip v vla en yoghurt,77,12.3,3.4,1.5
2538,Pudding huishoudelijk bereid m hv melk,92,17.0,2.9,1.4
2539,Vla zacht & luchtig ,142,16.0,2.9,7.4
2540,Soep noodle- bereid,86,11.7,1.7,3.4
2541,Worst boterham- vegetarisch verrijkt m ijzer en vit B12,181,4.6,6.6,14.7
2547,Bamibal/bamischijf diepvries onbereid,165,29.0,5.8,2.8
2548,Kroket vlees- diepvries onbereid,187,18.9,7.6,8.7
2549,Loempia diepvries onbereid,152,21.2,6.1,4.5
2551,Croissant ham-kaas-,378,35.7,11.2,20.6
2552,Kipkorn diepvries onbereid,293,16.5,11.6,19.7
