NEVO-code,productnaam,energie_kcal,koolhydraten_g,eiwitten_g,vetten_g
1013,Paneermeel,357,69.9,11.6,1.6
1014,Rijst zilvervlies- gekookt,131,26.4,3.1,1.0
1015,Tarwe gebroken bulgur rauw,340,63.4,12.3,1.3
1017,Tarweroggebrood volkoren,234,40.9,9.7,1.9
1018,Vlokken rogge-,318,57.0,8.1,1.7
1019,Grutten boekweit-,353,76.4,7.5,1.4
1020,Meel bak- zelfrijzend,334,69.2,9.8,1.0
1021,Artisjok rauw,49,9.5,2.0,0.0
1022,Beschuit natriumarm,399,71.0,14.0,6.0
1023,Bloem rijste- verrijkt m vit B1,380,85.3,7.5,0.9
1025,Gist gedroogd,390,36.0,48.0,6.0
1056,Kiwi groene,62,10.8,0.9,0.8
1057,Kaki / Sharonvrucht,77,18.6,0.5,0.0
1065,Glucosepoeder,364,91.0,0.0,0.0
1067,Orisel-Junior p 100 ml Nutricia,9,2.2,0.0,0.0
1068,Orisel p 100 ml Nutricia,9,2.2,0.0,0.0
1074,Passievrucht,52,5.7,2.6,0.4
1076,Kefir,40,3.1,3.5,1.5
1087,Sla mol- rauw,55,8.0,3.0,1.0
1090,Lychee,72,16.1,0.9,0.1
1094,Pate/smeerworst vegetarisch obv voedingsgist,218,9.3,4.6,17.5
1095,Erwten kikker- gekookt,138,15.9,7.6,3.0
1096,Zalm gerookt,188,0.8,21.8,10.8
1097,Kaviaar,281,0.0,24.0,20.5
1098,Inktvis rauw,73,0.0,16.0,1.0
1099,Kumquat,52,9.1,0.9,0.5
1100,Haring in (zoet)zuur,208,0.0,16.0,16.0
1101,Slakken wijngaard-,85,2.0,16.0,1.4
1104,Kaas rook- 45+,331,1.8,21.2,26.2
1105,Meloen water-,36,8.0,0.5,0.0
1106,Meloen suiker-,30,6.3,0.9,0.0
1108,Kaas Rambol,291,2.3,13.6,25.0
1109,Kaas smeer- 60+ Kiri,330,2.0,8.5,32.0
1110,Kaas Stilton,388,0.1,21.3,33.4
1111,Kaas Camembert 30+,223,0.0,24.0,14.0
1112,Kaas rauwmelkse 48+,392,0.0,26.0,32.0
1113,Kaas 48+ natriumarm,381,0.0,26.1,30.7
1116,Meloen op siroop blik/glas,80,19.0,0.5,0.0
1119,Doperwten extra fijn natriumarm blik/glas,51,6.5,4.0,0.0
1127,Sap citroen- vers,47,8.0,0.4,0.0
1132,Sap tomatengroenten-,21,4.0,1.0,0.0
1133,Champignon natriumarm blik/glas,18,0.2,2.1,0.4
1134,Kruidenbitter Berenburg,189,0.0,0.0,0.0
1136,Andijvie diepvries onbereid,9,0.3,1.0,0.0
1139,Doperwten m wortelen diepvries onbereid,58,7.1,3.8,0.4
1141,Groentemix Mexico Melange diepvries onbereid,85,12.0,4.5,0.9
1143,Bonen snij- diepvries onbereid,28,3.6,1.9,0.1
1144,Groente soep- diepvries onbereid,25,3.0,2.0,0.0
1146,Spinazie gesneden diepvries onbereid,20,1.1,2.3,0.3
1147,Spruitjes diepvries gekookt,47,5.6,2.3,0.7
1148,Bonen tuin- diepvries onbereid,87,9.3,7.5,0.6
1150,Aardappelschijfjes/-partjes ed diepvries onbereid,134,21.2,2.5,3.8
1151,Vleeswaren >30 g vet gem,393,2.6,16.4,35.1
1152,Worst salami,392,0.9,18.7,34.8
1155,Gehakt gebraden (vleeswaar),304,5.6,12.8,25.6
1156,Sap tomatengroenten- natriumarm,21,4.0,1.0,0.0
1157,Augurk zoetzuur natriumarm,17,2.8,1.1,0.0
1158,Ui zilver- zoetzuur natriumarm glas,21,3.0,1.0,0.0
1159,Ui zilver- zoetzuur z suiker glas,21,3.0,1.0,0.0
1160,Augurk zoetzuur z suiker,14,1.1,1.2,0.3
1161,Komkommerschijven zoetzuur glas,9,1.0,0.7,0.0
1162,Worst gekookte,357,3.7,11.3,33.0
1171,Vleeswaren 20-30 g vet gem,310,2.9,13.7,26.9
1172,Vleeswaren 10-20 g vet gem,213,3.2,14.9,15.5
1182,Appelmoes z suiker blik/glas,48,10.7,0.2,0.0
1187,Bamboespruiten blik/glas,33,6.0,2.0,0.0
1211,Vleeswaren <10 g vet gem,144,2.5,18.4,6.5
1212,Zout mineraal- natriumarm LoSalt,0,0.0,0.0,0.0
1213,Ketjap zout,211,50.0,2.8,0.0
1214,Ketjap zoet natriumarm,238,55.0,4.5,0.0
1215,Ketjap zoet,234,55.0,3.5,0.0
1216,Smaakversterker mononatriumglutamaat Ve-tsin,0,0.0,0.0,0.0
1220,Basilicum gedroogd,244,10.1,23.0,4.1
1221,Chilipoeder,373,32.0,12.0,17.0
1223,Kerrie djawa,370,36.5,12.0,14.0
1224,Kervel gedroogd,303,38.0,23.0,4.0
1225,Peper cayenne- rood,379,32.0,12.0,17.0
1226,Majoraan gedroogd,319,42.0,13.0,7.0
1227,Mosterd natriumarm,126,3.1,6.5,9.5
1228,Oregano gedroogd,360,49.0,11.0,10.0
1229,Paprikapoeder,359,35.0,15.0,13.0
1230,Peterselie gedroogd,309,41.0,22.0,4.0
1231,Rozemarijn gedroogd,374,46.0,5.0,15.0
1232,Sambal oelek,36,4.9,1.6,0.7
1233,Sambal oelek natriumarm,50,4.0,3.0,2.0
1234,Sambal gebakken,250,15.5,4.4,18.5
1235,Selderij blad- vers,16,2.0,1.0,0.0
1236,Serehpoeder,216,30.0,5.0,3.0
1238,Worst lever- hausmacher,266,5.2,15.4,20.4
1239,Worst smeerlever-,319,3.0,12.3,28.6
1242,Vruchten op eigen sap blik/glas,48,10.3,0.6,0.1
1253,Knackebrod vezelrijk,350,48.0,13.0,6.5
1255,Makreel in water blik,257,0.0,18.6,20.3
1256,Marsepein,420,64.2,5.3,15.3
1260,Mayonaiseproduct m yoghurt,281,13.0,0.9,25.0
1261,Zuigelingenvoeding Nutrilon 1 p 100 ml,66,7.3,1.3,3.4
1278,Babyvoeding maaltijd 6 mnd,72,8.7,3.3,2.3
1279,Kindervoeding maaltijd 15 mnd,70,9.0,3.6,1.9
1280,Babyvoeding fruit 4 mnd,58,13.0,0.5,0.1
1281,Babyvoeding groente 4 mnd,50,9.7,1.3,0.2
1294,Vruchtendrank m zuivel Taksi m suiker,32,7.9,0.1,0.0
1297,Spek rook- vet bereid,505,0.0,25.0,45.0
1302,Kaas room- zachte Paturain,354,2.3,7.0,35.3
1305,Kip z vel rauw,139,0.0,20.5,6.3
1306,Kip soep- m vel rauw,247,0.0,19.0,19.0
1310,Scholfilet gebakken/gestoofd,112,0.5,18.9,3.8
1311,Hagelslag chocolade- gem,449,69.3,5.7,15.3
1312,Cracker luchtige Cracottes natural,381,75.0,12.0,2.8
1314,Ei kippen- gebakken,220,0.9,14.4,17.6
1315,Kabeljauwfilet gebakken/gestoofd,118,0.6,21.5,3.3
1317,Kip/bout z vel gegrild,188,0.6,28.5,7.9
1321,Biscuit haver- Liga HaverKick,397,65.0,5.0,12.0
1326,Gehakt hoh rul gebakken,317,0.4,30.1,21.6
1338,Ontbijtproduct Olvarit pap tarwe en rogge 8+ mnd,376,72.0,11.6,2.1
1356,Biscuit meergranen- Liga Evergreen ov smaken,387,68.0,6.4,8.6
1361,Tarwebrood wit Turks,250,49.3,8.5,1.5
1364,Turks fruit,372,92.9,0.0,0.0
1365,Baklava,461,49.2,10.4,24.5
1366,Tulumba tatlisi gefrituurde soesjes Turks,391,54.8,4.4,16.9
1367,Worst droge sucuk Turks,446,6.7,20.4,37.5
1368,Worst salam Turks,271,6.5,14.8,20.6
1369,Kikkererwten geroosterd leblebi Turks,400,53.6,21.3,8.1
1370,Druivenblad glas,33,1.8,3.3,0.0
1371,Tafelzuur tursu Turks,24,3.9,0.6,0.0
1375,Gehakt runder- kofte Turks bereid,251,8.2,25.8,12.6
1376,Gehakt schapen- kofte Turks bereid,203,3.8,22.6,10.6
1377,Groenteschotel m vlees turlu Turks bereid,74,6.8,4.1,2.9
1380,Dessert soja- verrijkt m calcium en vitamines,85,13.4,3.1,1.9
1381,Drink soja- m suiker verrijkt m calcium en vitamines,37,3.0,3.0,1.4
1382,Kaas 30+ gem,280,0.0,30.1,17.7
1389,Drop gem,333,73.2,8.4,0.4
